id|ko|aliases|definition|note|refs
tropical-zodiac|회귀황도|열대황도;트로피컬 조디악|춘분점을 0도로 삼는 열두 사인의 체계.|별자리의 실제 경계나 항성황도와 구별한다.|usno;swiss
sidereal-zodiac|항성황도|사이디리얼 조디악|항성에 대한 기준을 정해 열두 사인을 배치하는 체계.|사용한 아야남샤의 이름과 판을 함께 기록한다.|swiss
ayanamsha|아야남샤|아야남사;ayanāṃśa;ayanamsa|회귀황도와 항성황도의 영점 차이.|모든 항성황도에 공통인 단일 값으로 번역하지 않는다.|swiss
lahiri-ayanamsha|라히리 아야남샤|Lahiri;Chitrapaksha;치트라파크샤|라히리 계열의 항성황도 영점 규약.|치트라 기준의 모든 변형을 동일 계산으로 취급하지 않는다.|swiss
fagan-bradley-ayanamsha|페이건·브래들리 아야남샤|Fagan/Bradley;페이건 브래들리|서양 항성 점성술에서 사용하는 아야남샤 규약.|라히리 값과 상호 교체하지 않는다.|swiss
raman-ayanamsha|라만 아야남샤|B. V. Raman|B. V. 라만 이름으로 알려진 항성황도 영점 규약.|동명의 인물과 계산 설정을 문맥으로 구별한다.|swiss
krishnamurti-ayanamsha|크리슈나무르티 아야남샤|KP ayanamsha;크리슈나무르티|KP 계통에서 사용하는 아야남샤 계열.|KP 명칭만으로 모든 구현의 수치가 같다고 가정하지 않는다.|swiss
true-versus-mean-lunar-nodes|진노드와 평균노드|true node;mean node;진교점;평균교점|달 궤도 교점의 순간적 모형과 평균 운동 모형.|진노드는 실제 천체가 아니며 순간 순행도 가능하다.|usno;swiss
ecliptic-longitude|황경|ecliptic longitude;λ|황도면의 기준 방향에서 잰 경도 성분.|사인 안의 도수와 0–360도 절대황경을 구별한다.|usno
ecliptic-latitude|황위|ecliptic latitude;β|황도면에서 북쪽 또는 남쪽으로 벗어난 각도.|관측자의 지리 위도나 천체의 적위가 아니다.|usno
right-ascension|적경|RA;right ascension;α|천구 적도를 따라 동쪽으로 재는 적도좌표 성분.|시간 단위와 각도 단위를 구별한다. 1시간은 15도다.|usno
declination|적위|declination;δ|천구 적도에서 북쪽 또는 남쪽으로 잰 각도.|황위·지리 위도와 혼용하지 않는다.|usno
oblique-ascension|사승도|사승경;oblique ascension;OA|주어진 위도에서 천체의 출과 연결되는 적도상의 상승 좌표.|황위 처리와 저자의 부호 규약을 확인한다.|gansten-directions
