id|ko|aliases|definition|note|refs
horary-radicality|호라리 래디컬리티|radicality;질문차트의 적합성|질문과 차트를 판단 대상으로 삼을 수 있는지 따지는 개념.|행성시 일치 등 개별 징표를 보편적 금지 규칙으로 바꾸지 않는다.|lilly
considerations-before-judgment|판단 전 고려사항|considerations;strictures|호라리 판단 전에 살피는 차트의 주의 조건.|판단 불가의 절대 조건인지 경고인지 저자의 표현을 보존한다.|lilly
querent-and-quesited-significators|질문자와 질문 대상의 시그니피케이터|querent;quesited;질문자;질문 대상;시그니피케이터|질문자 및 질문 대상에 배정하는 행성 등의 상징자.|인물의 감정과 사건의 성사를 같은 판단으로 합치지 않는다.|lilly
natural-significators|자연적 시그니피케이터|natural significator;자연적 상징성|행성 자체의 전통적 의미에 따라 배정하는 상징자.|하우스 주인에 따른 우발적 배정과 구별한다.|lilly
moon-as-co-significator|보조 시그니피케이터로서 달|co-significator;공동 상징성|질문자 또는 사건 전개를 함께 나타내도록 달을 사용하는 용법.|달이 이미 상대방의 주인일 때 등 충돌하는 역할을 확인한다.|lilly
perfection|퍼펙션|성사;perfection|질문의 일이 성립하는 것으로 해석하는 차트상의 연결.|도덕적 완벽함이 아니며 정확각만으로 모든 조건이 충족되지는 않는다.|perfection
translation-of-light|빛의 전달|트랜슬레이션 오브 라이트;translation of light|제3행성이 한 행성에서 분리하여 다른 행성에 접근하며 연결하는 기법.|translation을 언어 번역으로 옮기지 않는다. 속도·리셉션 조건을 출처별로 남긴다.|translation
collection-of-light|빛의 수집|컬렉션 오브 라이트;collection of light|두 행성이 제3행성에 접근하며 그 행성에 의해 연결되는 기법.|제3행성의 속도와 리셉션 요구를 생략하지 않는다.|collection
prohibition|프로히비션|금지;prohibition|예정된 연결보다 먼저 다른 접촉이 개입해 성사를 막는 구조.|일반어 금지 명령과 구별하며 개입 행성의 역할을 기록한다.|lilly
frustration|프러스트레이션|좌절;frustration|접근의 대상이 먼저 다른 행성과 연결되어 예정된 성사가 어긋나는 구조.|프로히비션과 사건 순서를 대조한다.|lilly
