id|ko|aliases|definition|note|refs
vimshottari-dasha|빔쇼타리 다샤|빔쇼따리;viṃśottarī daśā;Vimsottari;Vimshottari|낙샤트라를 기점으로 하는 120년 총주기의 행성 기간 체계.|출생 시 잔여 기간·연간 길이·기점 선택을 보존한다.|bphs-dasha
ashtottari-dasha|아슈토타리 다샤|aṣṭottarī;Ashtottari|108년 총주기의 조건부 행성 기간 체계.|적용 조건과 낙샤트라 배정을 빔쇼타리와 구별한다.|bphs-dasha
yogini-dasha|요기니 다샤|yoginī;Yogini|여덟 요기니 기간을 순환시키는 다샤 체계.|대표 총주기는 36년이며 요가의 일반 뜻과 다르다.|bphs-dasha
kalachakra-dasha|칼라차크라 다샤|kālacakra daśā;Kalachakra|낙샤트라 파다에 따라 사인 기간을 배당하는 체계.|티베트 칼라차크라 역법이나 동명의 차크라 도표와 구별한다.|bphs-dasha
chara-dasha|차라 다샤|cara daśā;Chara|사인들을 기간 주인으로 배당하는 다샤 계열.|파라샤라·K. N. 라오 등 여러 계산 규약을 명시한다.|jh;bphs-dasha
narayana-dasha|나라야나 다샤|Nārāyaṇa daśā;Padakrama|사인 종류 등에 따라 전개 순서를 정하는 사인 다샤.|시작 사인·순역·공동 지배성의 예외를 학파별로 남긴다.|rath-narayana
sudasha|수다샤|Sudasa;Su-dasha;Śrī lagna dasha|슈리 라그나를 기점으로 사용하는 사인 기간 기법.|행운이라는 일반어로 옮기지 않으며 기점 산식을 함께 보존한다.|rao-book
drigdasha|드리그다샤|Dṛgdaśā;Drigdasa|사인의 시선 관계 등을 활용하는 기간 기법.|같은 이름의 전개 규칙 차이를 남기고 드리슈티와 구별한다.|rao-book
shoola-dasha|슐라 다샤|Śūla daśā;Shoola;Shula|전통 수명론 등에서 사용하는 사인 기간 기법.|니르야나 슐라 등 변형과 구별한다. 실제 수명을 확정하지 않는다.|bphs-dasha
moola-dasha|물라 다샤|Mūla daśā;Moola|행성의 뿌리·강도 관계를 기점으로 삼는 다샤 계열.|ASC·달·태양 중 무엇을 비교하는 방식인지 기록한다.|jh
tara-dasha|타라 다샤|Tārā daśā;Tara|타라 관계 등에 따라 행성 기간을 배당하는 체계.|택일의 타라 발라와 같은 계산으로 번역하지 않는다.|bphs-dasha
sthira-dasha|스티라 다샤|Sthira daśā;Sthira|사인 양식에 고정된 기간 길이를 배당하는 다샤.|‘고정’이라는 이름이 고정궁만 사용한다는 뜻은 아니다.|bphs-dasha
patyayini-dasha|파티야이니 다샤|Patyāyinī;Patyayini;Pātyāyinī|타지카 연간차트의 도수 관계로 하위 기간을 배당하는 체계.|출생차트의 빔쇼타리와 구별한다.|tajika-full
dasha-year-length-variants|다샤의 연간 길이 변형|dasha year length;savana year|다샤의 1년을 일수로 환산하는 여러 규약.|360일·태양년 등의 차이를 날짜 산출에 보존한다.|bphs-dasha;jh
mahadasha-and-antardasha|마하다샤와 안타르다샤|mahādaśā;antardaśā;bhukti;대운;소운|다샤의 큰 기간과 그 안의 하위 기간.|사주의 대운·세운과 같은 계산이라는 의미로 쓰지 않는다.|bphs-dasha
dasha-pravesha|다샤 프라베샤|daśā praveśa;Dasa Pravesh|다샤나 하위 기간이 시작되는 시점의 차트.|연간 태양회귀와 다른 사건을 기점으로 한다.|jh
gochara|고차라|gocara;gochara;인도 트랜짓|현재 천체 운행을 출생 기준점 등과 비교하는 기법.|달·라그나·바르가 등 기준을 명시한다.|bphs-transit
sade-sati|사데 사티|Sāḍe Sātī;Sade Sati|토성이 출생 달의 앞·해당·다음 사인을 통과하는 기간.|약 7년 반이라는 명칭이지 모든 사람에게 동일한 날짜 길이는 아니다.|bphs-transit
tara-bala|타라 발라|tārā bala;Tara Bala|출생 낙샤트라와 해당 시점 낙샤트라 관계를 평가하는 지표.|타라 다샤와 다르며 세는 방향·잔여 분류를 보존한다.|panchanga
chandra-bala|찬드라 발라|candra bala;Chandra Bala|출생 기준에 대한 달의 위치를 택일 등에 평가하는 지표.|달의 샤드발라 총점과 같은 뜻이 아니다.|panchanga
raja-yogas|라자 요가|rāja yoga;Raja Yoga|지위·권력 등의 결과를 배정하는 행성 조합군.|명칭만으로 실제 왕이나 고위직이 된다는 단정으로 옮기지 않는다.|bphs-yoga
dhana-yogas|다나 요가|dhana yoga;재물 요가|재물 주제를 배정하는 행성·하우스 조합군.|단일 공식이 아니며 소유·소득·이익의 조건을 구별한다.|bphs-yoga
viparita-raja-yoga|비파리타 라자 요가|viparīta rāja yoga|불리한 하우스의 주인 관계에서 역전 효과를 읽는 요가 계열.|성립 조건·다른 주인과의 접촉·예외를 저자별로 보존한다.|bphs-yoga
neecha-bhanga|니차 방가|nīcabhaṅga;Neechabhanga;추락 상쇄|추락 상태의 불리함이 특정 조건에서 상쇄된다는 규칙.|니차 방가와 니차 방가 라자 요가를 같은 결과로 단정하지 않는다.|bphs-yoga
