id|ko|aliases|definition|note|refs
qizheng-siyu|칠정사여|七政四餘;七政四余;Qizheng Siyu|해·달·오행성과 네 여기를 사용하는 성명술 계열.|사여를 네 개의 관측된 물리 행성으로 설명하지 않는다.|xingming
guolao-xingzong|과로성종|果老星宗;Guolao Xingzong|칠정사여 관련 성명술을 수록한 문헌.|장과로에 대한 전승상 귀속과 실제 편찬·판본을 구별한다.|guolao
xingming-suyuan|성명소원|星命溯源;Xingming Suyuan|성명술 규칙을 모은 문헌으로 사고전서에도 수록된 책.|저자 귀속의 불확실성을 제요의 설명대로 남긴다.|xingming
twenty-eight-lunar-lodges|28수|이십팔수;二十八宿;宿;28 xiu|기준 항성들을 따라 설정한 동아시아의 스물여덟 천구 구획.|현대 황경의 28등분이나 인도 27낙샤트라와 동일하지 않다.|xingming;chinese-horoscopy
equatorial-lodges-versus-ecliptic-signs|적도수와 황도궁의 구분|宿度;宮度;equatorial lodges|적도 기준의 수 구획과 황도상의 궁 구획을 구별하는 편집 표제.|둘의 좌표·경계·시대 차이를 유지한다.|chinese-horoscopy
chinese-planetary-astrology|중국 행성 점성술|星命術;星學;성명술|행성의 위치와 궁·수 등을 개인 운명과 연결하는 중국의 전통들.|천문 징조를 국가에 적용하는 성점 및 사주와 구별한다.|chinese-horoscopy
luohou-and-jidu|나후와 계도|羅睺;罗睺;計都;计都;Luohou;Jidu|인도 라후·케투와 전승상 연결되는 중국의 두 여기.|시대에 따라 계산·개념이 바뀌므로 오늘날 노드와 무조건 같다고 쓰지 않는다.|chinese-horoscopy
ziqi-and-yuebei|자기와 월패|紫氣;紫气;月孛;Ziqi;Yuebei|칠정사여의 사여를 구성하는 두 요소.|자기의 가상 주기와 월패의 궤도 관련 설명은 원전의 계산을 따른다.|xingming;chinese-horoscopy
qintang-tradition|금당 계통|琴堂;Qintang|금당이라는 문헌·전승 명칭과 연결된 성명술 계열.|특정 단일 저자·단일 계산법을 뜻한다고 단정하지 않는다.|xingming
chinese-historical-solar-lunar-calendars|중국 역사 태음태양력|太陰太陽曆;Chinese lunisolar calendar|삭망월과 태양의 연주기를 윤달 등으로 조정한 역법군.|현재 중국력의 규칙을 모든 왕조의 역법에 소급하지 않는다.|hko-calendar
japanese-sukuyodo|일본 숙요도|宿曜道;Sukuyōdō;숙요도|숙요경 등의 수용과 함께 전개된 일본의 점성 전통.|현대의 27숙 궁합만으로 역사 전체를 설명하지 않는다.|kotyk-sukuyo
sukuyokyo|숙요경|宿曜經;宿曜経;T1299;Sukuyōkyō|날짜·숙·칠요의 길흉 등을 설명하는 불교계 문헌.|통칭과 정식 표제, 번역자 전승과 편집 과정을 구별한다.|sukuyo-text
sukuyo-lunar-mansions|숙요의 수|宿曜二十七宿;숙요 27수|숙요 전통에서 생일·날짜 등에 배정하는 달의 구획.|역일 배정 숙과 천문학적으로 관측한 달의 위치가 같다고 가정하지 않는다.|sukuyo-text;kotyk-sukuyo
japanese-onmyodo-astral-techniques|음양도의 천문·성점 기법|陰陽道;Onmyōdō;온묘도|일본 음양도에서 역법·천문·길흉 판단을 다루는 기법군.|숙요도와 역사적으로 접촉하지만 완전히 같은 전통은 아니다.|kotyk-sukuyo
korean-historical-astral-divination|한국 역사 성점|星占;천문 점후;성변 점후|천체의 변화·징조를 해석했던 한국의 역사적 실천.|관측 기록과 그 정치·의례적 해석을 별도 층위로 읽는다.|korean-astral
