id|ko|aliases|definition|note|refs
babylonian-omen-astrology|바빌로니아 징조 점성술|Babylonian celestial divination;천문 징조|천체 현상과 지상 사건을 조건문 형태로 연결한 메소포타미아의 전통.|후대 개인 출생차트 점성술과 시대·자료 유형을 구별한다.|oracc
enuma-anu-enlil|에누마 아누 엔릴|Enūma Anu Enlil;EAE|천체·기상 징조 등을 집성한 메소포타미아 문헌 계열.|단일 현대 저자나 한 장의 차트 명칭이 아니다.|oracc
mul-apin|물아핀|MUL.APIN;MUL APIN|별 목록·출몰·역일 등의 천문 지식을 모은 설형문자 문헌.|에누마 아누 엔릴과 동일한 점복 목록으로 취급하지 않는다.|mul-apin
egyptian-decanal-traditions|이집트 데칸 전통|Egyptian decans;decanal stars|별 집단의 출몰과 시간·역일을 연결한 이집트 전통.|후대 황도의 10도 구획 데칸과 역사적 단계를 구별한다.|egypt-decans
hellenistic-astrology|헬레니즘 점성술|Hellenistic astrology;그리스·로마 점성술|고대 지중해권의 황도·행성·하우스 등을 결합한 차트 점성 전통.|헬레니즘 시대의 엄밀한 연대와 점성술사의 관용 범위가 다를 수 있다.|hellenistic-texts
arabic-persian-astrology|아랍·페르시아 점성술|Arabic astrology;Persian astrology|아랍어·페르시아어 문헌에서 전개된 여러 점성 전통.|언어·민족·종교를 같은 분류로 취급하지 않는다.|pal
medieval-latin-astrology|중세 라틴 점성술|medieval Latin astrology|중세 라틴어권에서 번역·교육·실천된 점성 전통.|단일 아랍 원전의 단순 복제라는 설명을 피한다.|pal
jewish-astrological-traditions|유대 점성술 전통|Jewish astrology;Hebrew astrology|유대 저자·독자·히브리어 문헌과 관련된 점성 전통들.|종교 내부의 수용과 비판, 언어별 전승을 함께 구별한다.|ibn-ezra
renaissance-astrology|르네상스 점성술|Renaissance astrology|르네상스 시기 유럽의 점성 문헌·교육·실천.|시대명이며 특정 하우스나 한 가지 판단법의 이름이 아니다.|pal;lilly
indian-greek-transmission|인도·그리스 전승 관계|Yavanajātaka;야바나자타카|인도와 그리스어권 점성 지식의 교류·변용 문제.|유사성·번역·직접 전승의 증거를 구별하고 논쟁 중인 연대를 고정하지 않는다.|yavanajataka
arabic-latin-translation-movement|아랍어·라틴어 번역 전승|Arabic-Latin translation|아랍어 점성 문헌이 라틴어로 옮겨지고 재편된 과정.|원저자·중간 언어·번역자·필사본을 분리해 기록한다.|pal
sanskrit-persian-transmission|산스크리트·페르시아 전승|Sanskrit-Persian transmission|산스크리트어권과 페르시아어권의 점성 지식 교류.|타지카의 아랍·페르시아계 요소와 후대의 재해석을 구별한다.|tajika-full
