id|en|ko|aliases|definition|note|refs
astrology|Astrology|점성술|astrology;占星術|천체·역일의 배치와 지상의 삶을 상징적으로 연결하는 전통들의 총칭.|천체를 관측·설명하는 천문학과 구별한다.|hellenistic-texts
natal-astrology|Natal astrology|출생 점성술|네이털;네이탈;genethlialogy;nativity|출생 순간의 차트를 대상으로 하는 점성술 분야.|natal을 국가의라는 뜻으로 오역하지 않는다.|lilly
horary-astrology|Horary astrology|호라리 점성술|호러리;질문 점성술;interrogational astrology|질문의 성립 시점을 기점으로 답을 구하는 점성술 분야.|질문 인지·이해·접수 중 어떤 시각을 쓰는지 저자별로 남긴다.|sky-h
zodiac-sign|Zodiac sign|사인|황도궁;sign;zōidion;ζῴδιον|황도를 열두 구간으로 나눈 각 30도 단위.|천문학의 실제 별자리와 구별한다.|usno;lilly
constellation|Constellation|별자리|constellation;星座|천구상의 별 무리 또는 현대 천문학에서 경계로 정한 영역.|황도궁의 한국어 관용명에 ‘자리’가 있어도 같은 개념은 아니다.|usno
house|House|하우스|house;宮;궁|관측 기준에 따라 차트를 열두 분야로 나누는 구획.|전통 영어의 행성 house는 사인의 도미사일을 뜻할 수도 있다.|lilly
chart-radix|Radix chart|래딕스 차트|radix;radical chart;원차트;기준차트|다른 시점·파생 계산의 바탕이 되는 차트.|항상 출생차트만을 뜻하지는 않는다.|sky-r
native|Native|차트의 당사자|native;명주;본인|출생차트가 대상으로 삼는 사람.|일반 영어의 원주민으로 번역하지 않는다.|lilly
sun|Sun|태양|☉;Sol;Helios;Sūrya;Surya;सूर्य;日|점성술의 두 발광체 중 하나인 태양.|천문학에서는 항성이지만 전통의 행성 범주에 함께 포함되기도 한다.|usno;lilly
moon|Moon|달|☽;Luna;Selene;Candra;Chandra;चन्द्र;月|지구의 자연 위성으로 차트의 주요 발광체.|월이라는 역일 단위와 문맥을 구별한다.|usno;lilly
mercury|Mercury|수성|☿;Hermes;Budha;बुध;辰星|전통 일곱 행성 중 수성.|수은이라는 물질명과 구별하며 Budha를 Buddha와 혼동하지 않는다.|lilly
venus|Venus|금성|♀;Aphrodite;Śukra;Shukra;शुक्र;太白|전통 일곱 행성 중 금성.|동명 신격과 실제 천체 및 차트 상징을 구별한다.|lilly
mars|Mars|화성|♂;Ares;Maṅgala;Mangala;Kuja;मङ्गल;熒惑|전통 일곱 행성 중 화성.|길흉의 전통적 분류와 실제 행성의 물성을 구별한다.|lilly
jupiter|Jupiter|목성|♃;Zeus;Guru;Bṛhaspati;Brihaspati;बृहस्पति;歲星|전통 일곱 행성 중 목성.|Guru는 일반 스승도 뜻하므로 문맥 없이 치환하지 않는다.|lilly
saturn|Saturn|토성|♄;Kronos;Śani;Shani;शनि;鎮星|전통 일곱 행성 중 토성.|Kronos라는 우라니안 가상점과 그리스의 토성 이름을 구별한다.|lilly
uranus|Uranus|천왕성|♅;Herschel;Uranus|근대에 발견되어 서양 현대 점성술에 편입된 행성.|고대의 일곱 행성 표에 원래부터 포함된 것처럼 쓰지 않는다.|jpl-bodies
neptune|Neptune|해왕성|♆;Neptune;Poseidon|서양 현대 점성술에서 사용하는 외행성.|우라니안 가상점 Poseidon과 실제 해왕성을 구별한다.|jpl-bodies
pluto|Pluto|명왕성|♇;Pluto;Hades|현대 점성술에서 사용하는 왜행성 명왕성.|천문학적 분류 변경과 점성술적 사용 여부는 다른 문제다.|jpl-bodies
luminaries|Luminaries|발광체|lights;luminaries;兩曜;일월|점성술에서 태양과 달을 함께 부르는 말.|달이 스스로 빛을 낸다는 천문학적 주장으로 해석하지 않는다.|lilly
classical-planets|Seven classical planets|전통의 일곱 행성|septener;일곱 유성;칠요;七曜|태양·달·수성·금성·화성·목성·토성의 전통적 묶음.|현대 천문학의 행성 분류와 다르다.|lilly
benefic|Benefic|길성|benefic;fortune;길한 행성|전통적으로 도움과 유리함을 배정한 행성 분류.|행성의 자연적 분류와 차트에서의 실제 역할을 구별한다.|sky-b
malefic|Malefic|흉성|malefic;infortune;흉한 행성|전통적으로 어려움과 손상을 배정한 행성 분류.|악인이나 언제나 나쁜 결과라는 뜻으로 옮기지 않는다.|sky-m
north-node|North lunar node|북노드|상승교점;North Node;☊;용두;Caput Draconis|달이 황도면을 남쪽에서 북쪽으로 통과하는 교점.|관측된 물리 천체가 아니며 진·평균 모형을 표시한다.|usno
south-node|South lunar node|남노드|하강교점;South Node;☋;용미;Cauda Draconis|달이 황도면을 북쪽에서 남쪽으로 통과하는 교점.|같은 교점 모형에서 북노드의 반대편이다.|usno
rahu|Rahu|라후|Rāhu;राहु;라훼|조티샤에서 주로 달의 상승교점과 연결되는 그라하.|중국의 나후를 모든 시대에 같은 계산으로 치환하지 않는다.|bphs-basic
ketu|Ketu|케투|Ketu;केतु|현대 조티샤에서 주로 달의 하강교점과 연결되는 그라하.|역사 문헌에서 혜성 등 다른 용법이 있는지 확인한다.|bphs-basic
graha|Graha|그라하|graha;ग्रह|조티샤에서 천체·교점 등에 부여하는 작용 주체의 범주.|현대 천문학의 물리적 행성만을 뜻하지 않는다.|bphs-basic
