id|ko|aliases|definition|note|refs
secondary-progressions|세컨더리 프로그레션|이차 진행;세컨더리 진행;secondary progression|대표적으로 출생 후 하루를 생애 1년에 대응시키는 기법.|진행 앵글의 계산법은 별도로 기록한다.|progressions
tertiary-progressions|터셔리 프로그레션|삼차 진행;tertiary progression I|대표적으로 출생 후 하루를 약 27.32일의 달 주기에 대응시키는 진행.|프로그램에서 tertiary I·II를 어떻게 부르는지 확인한다.|tertiary
minor-progressions|마이너 프로그레션|minor progression;tertiary II|대표적으로 출생 후 약 27.32일의 달 주기를 생애 1년에 대응시키는 진행.|tertiary II라는 이름도 사용한다. 원문의 월 명칭과 수치가 충돌하면 약 29.53일의 삭망월로 임의 교정하지 말고 확인 표시를 남긴다.|minor
converse-progressions|역방향 프로그레션|converse progression;출생 전 진행|출생 이전 방향으로 상징적 시점을 전개하는 진행.|천체의 실제 역행과 다르며 일·월·년의 대응 비율을 남긴다.|progressions
solar-arc-directions|솔라 아크 디렉션|태양호 디렉션;solar arc|진행 태양의 이동호 등을 모든 기준 위치에 더하는 기법.|실제 태양호와 평균 태양호를 구별한다.|progressions
lunar-arc-directions|루나 아크 디렉션|달호 디렉션;lunar arc|진행 달 등의 이동호를 기준 위치들에 공통 적용하는 기법.|어느 진행법에서 달의 호를 얻었는지 명시한다.|sky-d
progressed-lunar-phases|진행 달 위상|progressed lunar phase|진행 태양과 진행 달의 상대 위상을 읽는 방법.|진행 달의 사인과 출생차트에 대한 달의 각을 구별한다.|lunar-cycle
progressed-lunations|진행 삭망|progressed New Moon;progressed Full Moon|진행 태양·달이 합이나 충에 이르는 시점.|실제 하늘의 삭망이 아니라 상징적으로 대응한 시점이다.|lunar-cycle;chart-types
synastry|시너스트리|synastry;궁합 대조|둘 이상의 차트 위치를 서로 대조하는 방법.|컴포지트처럼 두 차트를 하나의 계산차트로 합치지 않는다.|synastry
composite-charts|컴포지트 차트|composite;중간점 합성 차트|두 차트의 대응 위치를 주로 중간점으로 합성한 차트.|실제 하늘에 존재한 순간의 차트라고 가정하지 않는다.|composite
davison-relationship-chart|데이비슨 관계 차트|Davison;시공간 중간 차트|두 출생 시각·장소의 중간값을 바탕으로 작성하는 관계 차트.|보정·비보정 및 구면상 장소 중간점 방식이 존재한다.|davison
progressed-synastry|진행 시너스트리|progressed synastry|진행차트와 상대의 출생 또는 진행차트를 대조하는 방법.|어느 차트가 진행되었는지 각각 표시한다.|chart-types
progressed-composite|진행 컴포지트|progressed composite|관계의 컴포지트를 진행 상태로 산출하는 방법.|개인 차트들을 먼저 진행해 합성하는지 등의 계산 순서를 남긴다.|progressed-composite-help
